symbol,code,name,date,time,local_time,status,pre_close_price,open_price,high_price,low_price,latest_price,change_rate,high_limited_price,low_limited_price,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_price_10,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,ask_volume_10,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_price_10,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,bid_volume_10,total_ask_volume,weighted_ask_price,total_bid_volume,weighted_bid_price,total_fill_number,total_fill_volume,total_fill_turnover
600030.SH,600030,中信证券,20180404,91700000,91716000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67777,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67777,10423,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91715000,91718000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67777,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67777,12523,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91715000,91721000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65877,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65877,17123,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91721000,91727000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67877,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67877,15123,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91727000,91730000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68377,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68377,16823,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91733000,91733000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68977,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68977,16223,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91733000,91736000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69077,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69077,16323,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91736000,91739000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69077,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69077,17323,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91736000,91742000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69077,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69077,15823,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
600030.SH,600030,中信证券,20180404,91742000,91745000,73,19.21,0.0,0.0,0.0,0.0,-1.0,21.13,17.29,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69277,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69277,16423,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
